voice	prompt	temp	topk	rp	bytes	tok_per_s	toks
resonance-yent	2	0.9	0	1.0	179	NA	NA
resonance-yent	2	0.9	0	1.3	179	NA	NA
resonance-yent	2	0.9	0	1.4	179	NA	NA
resonance-yent	2	1.0	40	1.0	180	NA	NA
resonance-yent	2	1.0	40	1.3	180	NA	NA
resonance-yent	2	1.0	40	1.4	180	NA	NA
resonance-yent	2	1.0	0	1.0	179	NA	NA
resonance-yent	2	1.0	0	1.3	179	NA	NA
resonance-yent	2	1.0	0	1.4	179	NA	NA
resonance-yent	3	0.3	40	1.0	180	NA	NA
resonance-yent	3	0.3	40	1.3	180	NA	NA
resonance-yent	3	0.3	40	1.4	180	NA	NA
resonance-yent	3	0.3	0	1.0	179	NA	NA
resonance-yent	3	0.3	0	1.3	179	NA	NA
resonance-yent	3	0.3	0	1.4	179	NA	NA
resonance-yent	3	0.5	40	1.0	180	NA	NA
resonance-yent	3	0.5	40	1.3	180	NA	NA
resonance-yent	3	0.5	40	1.4	180	NA	NA
resonance-yent	3	0.5	0	1.0	179	NA	NA
resonance-yent	3	0.5	0	1.3	179	NA	NA
resonance-yent	3	0.5	0	1.4	179	NA	NA
resonance-yent	3	0.7	40	1.0	180	NA	NA
resonance-yent	3	0.7	40	1.3	180	NA	NA
resonance-yent	3	0.7	40	1.4	180	NA	NA
resonance-yent	3	0.7	0	1.0	179	NA	NA
resonance-yent	3	0.7	0	1.3	179	NA	NA
resonance-yent	3	0.7	0	1.4	179	NA	NA
resonance-yent	3	0.8	40	1.0	180	NA	NA
resonance-yent	3	0.8	40	1.3	180	NA	NA
resonance-yent	3	0.8	40	1.4	180	NA	NA
resonance-yent	3	0.8	0	1.0	179	NA	NA
resonance-yent	3	0.8	0	1.3	179	NA	NA
resonance-yent	3	0.8	0	1.4	179	NA	NA
resonance-yent	3	0.9	40	1.0	180	NA	NA
resonance-yent	3	0.9	40	1.3	180	NA	NA
resonance-yent	3	0.9	40	1.4	180	NA	NA
resonance-yent	3	0.9	0	1.0	179	NA	NA
resonance-yent	3	0.9	0	1.3	179	NA	NA
resonance-yent	3	0.9	0	1.4	179	NA	NA
resonance-yent	3	1.0	40	1.0	180	NA	NA
resonance-yent	3	1.0	40	1.3	180	NA	NA
resonance-yent	3	1.0	40	1.4	180	NA	NA
resonance-yent	3	1.0	0	1.0	179	NA	NA
resonance-yent	3	1.0	0	1.3	179	NA	NA
resonance-yent	3	1.0	0	1.4	179	NA	NA
leo24m	1	0.3	40	1.0	533	17.1	24
leo24m	1	0.3	40	1.3	533	22.3	24
leo24m	1	0.3	40	1.4	533	17.5	24
leo24m	1	0.3	0	1.0	532	17.8	24
leo24m	1	0.3	0	1.3	532	22.4	24
leo24m	1	0.3	0	1.4	532	23.5	24
leo24m	1	0.5	40	1.0	533	17.7	24
leo24m	1	0.5	40	1.3	533	17.6	24
leo24m	1	0.5	40	1.4	533	17.9	24
leo24m	1	0.5	0	1.0	532	22.0	24
leo24m	1	0.5	0	1.3	532	17.4	24
leo24m	1	0.5	0	1.4	532	22.2	24
leo24m	1	0.7	40	1.0	533	17.4	24
leo24m	1	0.7	40	1.3	533	17.5	24
leo24m	1	0.7	40	1.4	533	21.8	24
leo24m	1	0.7	0	1.0	532	17.6	24
leo24m	1	0.7	0	1.3	532	17.4	24
leo24m	1	0.7	0	1.4	532	17.5	24
leo24m	1	0.8	40	1.0	533	17.0	24
leo24m	1	0.8	40	1.3	533	17.2	24
leo24m	1	0.8	40	1.4	533	21.6	24
leo24m	1	0.8	0	1.0	532	17.4	24
leo24m	1	0.8	0	1.3	532	22.4	24
