  └─ debt=2.65 res=0.80 ent=0.33 emg=0.54 B:8 H:3 F:15 A:43 V:14 T:0
  └─ debt=3.11 res=0.80 ent=0.33 emg=0.54 B:8 H:3 F:15 A:44 V:16 T:0
  └─ debt=3.05 res=0.79 ent=0.32 emg=0.53 B:8 H:4 F:16 A:39 V:16 T:0
  └─ debt=3.29 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:19 A:35 V:17 T:0
  └─ debt=3.22 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:12 A:43 V:19 T:0
  └─ debt=3.16 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:13 A:31 V:17 T:0
  └─ debt=3.55 res=0.91 ent=0.10 emg=0.81 B:8 H:4 F:15 A:56 V:16 T:0
  └─ debt=3.48 res=0.77 ent=0.29 emg=0.55 B:11 H:4 F:17 A:44 V:19 T:0
  └─ debt=3.41 res=0.90 ent=0.10 emg=0.81 B:8 H:4 F:14 A:68 V:19 T:0
  └─ debt=3.34 res=0.78 ent=0.30 emg=0.55 B:8 H:3 F:12 A:64 V:17 T:0
  └─ debt=3.27 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:11 A:45 V:14 T:0
  └─ debt=3.21 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:11 A:57 V:16 T:0
  └─ debt=3.14 res=0.78 ent=0.33 emg=0.52 B:8 H:3 F:15 A:34 V:16 T:0
  └─ debt=3.36 res=0.79 ent=0.33 emg=0.53 B:8 H:2 F:20 A:42 V:17 T:0
  └─ debt=3.29 res=0.78 ent=0.33 emg=0.52 B:8 H:3 F:17 A:34 V:19 T:0
  └─ debt=3.23 res=0.78 ent=0.33 emg=0.52 B:8 H:4 F:16 A:35 V:17 T:0
  └─ debt=3.16 res=0.90 ent=0.10 emg=0.81 B:8 H:4 F:19 A:49 V:16 T:0
  └─ debt=3.10 res=0.79 ent=0.29 emg=0.55 B:8 H:4 F:18 A:49 V:19 T:0
  └─ debt=3.04 res=0.91 ent=0.10 emg=0.82 B:8 H:4 F:20 A:49 V:19 T:0
  └─ debt=2.98 res=0.79 ent=0.29 emg=0.56 B:8 H:4 F:21 A:62 V:17 T:0
